customer_id,umur,region,jenis_kelamin,status_nikah,jenis_pekerjaan,has_sms_fin,has_internet_fin,has_tabungan,has_giro,has_deposito,has_loan,jenis_merchant
c0001,30.0,K,M,B,Others,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0002,28.0,G,M,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0003,38.0,R,,K,Wiraswasta,1.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0004,36.0,N,M,K,Pedagang,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0005,53.0,G,M,K,Wiraswasta,1.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0006,44.0,N,M,K,Others,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0007,26.0,P,M,B,Pedagang,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0008,60.0,E,M,K,Pegawai Swasta,0.0,0.0,1.0,1.0,0.0,1.0,RITEL
c0009,43.0,B,M,K,,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0010,64.0,I,M,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0011,41.0,E,F,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0012,36.0,F,M,K,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0013,,I,F,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0014,66.0,N,M,K,Wiraswasta,1.0,0.0,1.0,1.0,1.0,0.0,RITEL
c0015,50.0,M,M,K,Wiraswasta,1.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0016,41.0,G,M,K,Others,1.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0017,41.0,R,F,K,Wiraswasta,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0018,55.0,P,M,D,,0.0,0.0,1.0,0.0,1.0,1.0,RITEL
c0019,45.0,P,F,,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0020,34.0,P,M,K,Others,1.0,1.0,1.0,1.0,0.0,0.0,RITEL
c0021,58.0,G,F,K,Wiraswasta,0.0,0.0,0.0,1.0,0.0,0.0,RITEL
c0022,62.0,R,F,K,Others,1.0,0.0,1.0,0.0,1.0,0.0,RITEL
c0023,35.0,J,M,K,Others,0.0,0.0,1.0,0.0,0.0,1.0,RITEL
c0024,,J,M,,Others,0.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0025,36.0,R,F,K,Others,1.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0026,44.0,I,M,K,Wiraswasta,1.0,0.0,1.0,1.0,0.0,1.0,RITEL
c0027,38.0,Q,F,K,Wiraswasta,0.0,1.0,1.0,1.0,1.0,0.0,RITEL
c0028,46.0,G,M,K,Pegawai Swasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0029,46.0,N,M,,Wiraswasta,0.0,0.0,1.0,1.0,0.0,0.0,RITEL
c0030,,I,F,,Pedagang,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0031,45.0,G,M,K,Wiraswasta,1.0,1.0,1.0,1.0,0.0,1.0,RITEL
c0032,32.0,B,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
c0033,33.0,L,M,,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,RITEL
c0034,46.0,Q,M,K,Wiraswasta,1.0,1.0,1.0,0.0,0.0,0.0,PARTNERSHIP
c0035,25.0,B,M,K,Others,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0036,52.0,K,M,K,Wiraswasta,1.0,0.0,0.0,1.0,0.0,1.0,RITEL
c0037,33.0,L,,K,Ibu Rumah Tangga,0.0,1.0,1.0,0.0,1.0,1.0,RITEL
c0038,31.0,E,F,B,Wiraswasta,0.0,0.0,1.0,0.0,0.0,0.0,RITEL
c0039,32.0,E,M,B,Wiraswasta,0.0,1.0,1.0,0.0,0.0,1.0,RITEL
