customer_id,has_sms_fin,has_internet_fin,has_tabungan,has_giro,has_deposito,has_loan,umur_rekening
c0001,0.0,1.0,1.0,0.0,0.0,0.0,59.0
c0002,0.0,0.0,1.0,0.0,0.0,1.0,49.0
c0003,1.0,1.0,1.0,1.0,0.0,1.0,54.0
c0004,0.0,1.0,1.0,0.0,0.0,0.0,132.0
c0005,1.0,0.0,1.0,0.0,0.0,1.0,117.0
c0006,1.0,0.0,1.0,0.0,0.0,0.0,170.0
c0007,0.0,1.0,1.0,0.0,0.0,0.0,47.0
c0008,0.0,0.0,1.0,1.0,0.0,1.0,67.0
c0009,0.0,1.0,1.0,0.0,0.0,1.0,73.0
c0010,0.0,0.0,1.0,0.0,0.0,0.0,59.0
c0011,0.0,0.0,1.0,0.0,0.0,0.0,20.0
c0012,0.0,1.0,1.0,0.0,0.0,1.0,269.0
c0013,1.0,1.0,1.0,0.0,0.0,0.0,60.0
c0014,1.0,0.0,1.0,1.0,1.0,0.0,253.0
c0015,1.0,1.0,1.0,0.0,1.0,1.0,98.0
c0016,1.0,0.0,1.0,0.0,0.0,0.0,55.0
c0017,0.0,0.0,1.0,0.0,0.0,1.0,184.0
c0018,0.0,0.0,1.0,0.0,1.0,1.0,55.0
c0019,0.0,0.0,1.0,0.0,0.0,0.0,47.0
c0020,1.0,1.0,1.0,1.0,0.0,0.0,142.0
c0021,0.0,0.0,0.0,1.0,0.0,0.0,4.0
c0022,1.0,0.0,1.0,0.0,1.0,0.0,232.0
c0023,0.0,0.0,1.0,0.0,0.0,1.0,112.0
c0024,0.0,1.0,1.0,0.0,0.0,0.0,112.0
c0025,1.0,1.0,1.0,0.0,1.0,1.0,120.0
c0026,1.0,0.0,1.0,1.0,0.0,1.0,72.0
c0027,0.0,1.0,1.0,1.0,1.0,0.0,47.0
c0028,0.0,0.0,1.0,0.0,0.0,0.0,269.0
c0029,0.0,0.0,1.0,1.0,0.0,0.0,18.0
c0030,0.0,0.0,1.0,0.0,0.0,0.0,54.0
c0031,1.0,1.0,1.0,1.0,0.0,1.0,68.0
c0032,0.0,1.0,1.0,0.0,0.0,1.0,64.0
c0033,1.0,1.0,1.0,0.0,0.0,0.0,58.0
c0034,1.0,1.0,1.0,0.0,0.0,0.0,49.0
c0035,0.0,0.0,1.0,0.0,0.0,0.0,30.0
c0036,1.0,0.0,0.0,1.0,0.0,1.0,74.0
c0037,0.0,1.0,1.0,0.0,1.0,1.0,52.0
c0038,0.0,0.0,1.0,0.0,0.0,0.0,83.0
c0039,0.0,1.0,1.0,0.0,0.0,1.0,58.0
c0040,1.0,1.0,1.0,0.0,0.0,0.0,1.0
c0041,0.0,0.0,1.0,0.0,0.0,1.0,25.0
c0042,0.0,0.0,1.0,1.0,0.0,0.0,124.0
c0043,1.0,1.0,1.0,0.0,0.0,1.0,110.0
c0044,0.0,0.0,1.0,1.0,1.0,1.0,69.0
c0045,0.0,1.0,1.0,0.0,0.0,0.0,8.0
c0046,0.0,0.0,1.0,0.0,0.0,1.0,60.0
c0047,0.0,0.0,1.0,1.0,0.0,0.0,81.0
c0048,1.0,1.0,1.0,0.0,1.0,0.0,121.0
c0049,1.0,0.0,1.0,0.0,0.0,1.0,62.0
c0050,0.0,0.0,1.0,1.0,1.0,0.0,47.0
c0051,1.0,1.0,1.0,0.0,0.0,0.0,39.0
c0052,0.0,0.0,1.0,0.0,0.0,1.0,14.0
c0053,1.0,1.0,1.0,0.0,0.0,0.0,1.0
c0054,0.0,0.0,1.0,0.0,0.0,0.0,2.0
c0055,0.0,1.0,1.0,0.0,0.0,1.0,130.0
c0056,0.0,1.0,1.0,0.0,0.0,1.0,89.0
c0057,1.0,0.0,1.0,0.0,0.0,1.0,97.0
